Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Unnamed: 0,Title,Release Date,Team,Rating,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist,weighted_rating,Backlog_Wishlist_Ratio,Release_Year
848,lego marvel super heroes,Ps3,2013.0,Action,Warner Bros. Interactive Entertainment,0.77,0.85,0.01,0.37,2.0,310,lego marvel super heroes,2013-09-30,"WB Games , Traveller's Tales",3.6,522.0,"Adventure , Brawler , Puzzle","In LEGO Marvel Super Heroes, players will unlock more than 100 characters from across the Marvel Universe, including fan favorites like Spider-Man, Iron Man, Wolverine, Captain America, the Hulk, Thor, Black Widow, Hawkeye, Deadpool, Loki and Galactus! The game will pack in a plethora of super-cool character abilities, combat-like action sequences, epic battle scenes, puzzle-solving and a unique story told with playful LEGO humor.","after playing a lot of other lego games, this one just felt like another one of those. nothing special, nothing memorable. we quit about 13 of the way into the game because we got bored. there are far better lego games than this one. disclaimer these are my brief thoughts based on my memory of playing this 8 years ago i think i remember the game being ok... so 2 and a half stars it is, i guess. i think this game got me to stop playing lego games. awesome open world lego game. infância com a marvel i dont really remember much other then deadpool did silly deadpool things",6000.0,65.0,592.0,126.0,3.6248452797936555,4.698412698412699,2013
849,fire emblem: awakening,3Ds,2012.0,Role-Playing,Nintendo,0.89,0.45,0.53,0.13,2.0,930,fire emblem: awakening,2012-04-19,"Intelligent Systems Co., Ltd. , Nintendo",3.8,1200.0,"Adventure , Rpg , Strategy","Armies clash as the world burns. As an inevitable war draws ever closer, you must stand with Chrom and his forces--knights, mages, archers, and more--commanding them against the armies of kingdoms, empires, and the dead themselves.
             

              Plan your strategery. Move your troops on the battlefield, then choose their weapon and attack. Using the new Pair Up and Dual systems, support your attacks with the help of nearby allies and watch their skills and relationships grow.","the first fire emblem game i beat. i loved it sm, i beat it in like 2 days, playing it almost nonstop. this game made me love fire emblem they made marth a hot woman ðÿ yeah cordelia is pretty cute 00 this game has some of the worst writing in rpg history but the characters are charming and also the team building in this one is very addictive. better than conquest i fear gave the game another go and while its not as bad as i remember and there was a lot of parts i thought were good, the game itself is just super boring. most of the characters are too one note for me to care beyond their personality trait is annoying or i like their personality trait and the story itself is incredibly uninteresting, even compared to some of the weaker fire emblem titles. its a shame that the series went the direction it did since awakening as a launching point had a lot of good ideas and potential but i guess we had to run with mostly the bad ones for fates and just throw shit at the wall until it sticks after",9500.0,287.0,2000.0,814.0,3.7604193382990636,2.457002457002457,2012
858,battlefield 4,Xone,2013.0,Shooter,Electronic Arts,1.25,0.58,0.0,0.16,1.98,314,battlefield 4,2013-10-29,"EA Digital Illusions CE , Electronic Arts",3.5,431.0,Shooter,"Battlefield 4 is the genre-defining action blockbuster created by Dice, and made from moments that blur the line between game and glory, moments found only in Battlefield. Go to Boot Camp to learn the basics of Battlefield 4's engaging single player and intense multiplayer mode. Here you'll also find intel on Levolution, Commander Mode, Naval Warfare and many more exciting game features.","this is a clear example of less is sometimes more. battlefield 4 is an unbalanced mess of a game compared to 3. the scale is impressive but at the cost of player experience its not worth it. really bad campaign i hate hate hate hate hate vehicle players, but its battlefield and playing on normal tdm servers is even more of a hectic mess. this game 89 years ago  4 stars and pretty dang awesome this game nowadays on steam servers  kinda rough and sweaty and players are annoying so ill generously rate it 3 stars and call it a day holds up, till this day. my personal favorite battlefield game. i absolutely love the multiplayer in this game. the servers are still relatively active, even compared to some of their more recent releases battlefield 1, im sure battlefield hardline falls into this same boat. would highly recommend giving this games multiplayer a shot if you have not done so already. the only thing i remember about this game is that it had michael kenneth williams for some reason. i dont even know why i own it. im pretty sure i played like 2 hours of the campaign and never touched the multiplayer.",7100.0,72.0,506.0,124.0,3.578278484424468,4.080645161290323,2013
859,resident evil 6,X360,2012.0,Shooter,Capcom,1.11,0.63,0.07,0.16,1.98,228,resident evil 6,2012-10-02,Capcom,2.5,888.0,"Adventure , Shooter","Resident Evil 6 is the ninth video game installment in the Resident Evil series. It continues the struggle against zombies infected by the new highly virulent C-virus. The game uses the same over-the-shoulder view as Resident Evil 4 and Resident Evil 5, however with a new gameplay mechanic that allows players to slowly move while shoot. Players can select between three scenarios featuring multiple characters and intertwined storylines, and within these scenarios both stories and action cross paths. At key moments during the game, up to four players can join together online to tackle a specific situation, with some stages seeing the usual partnerships swapped to further increase the depth of gameplay.","ive played 2 hours of this game and the amount of visual errors and pure laziness in a series that thrives on environmental design is depressing. ive never played a game that cant figure out what it wanted to be. the whole story is a mess, campaigns are split between action, horror, fighting, and puzzles and unnecessary qtes garbage i meanits better in coop with a friend so you can laugh through the insufferable, repetitive wtf sections. story was chill. idk man its just eh. chris best look tho 3 my friend and i played this game for about and hour then got pissed and quit completely id only really recommend it in coop, but its a fun coop experience even with all the jank and poorly designed bits. the shooting and combat mechanics are both topnotch and really carry the game.",7800.0,189.0,1800.0,552.0,2.885794775742323,3.260869565217391,2012
864,devil may cry 2,Ps2,2003.0,Action,Capcom,0.71,0.58,0.51,0.17,1.97,947,devil may cry 2,2003-01-25,"Capcom , Capcom Production Studio 1",1.6,620.0,"Adventure , Brawler","Devil May Cry 2 is the sequel to Devil May Cry. From the start of the game, the player controls Dante or his new partner Lucia through various levels as they battle waves of demons. This game features an Amulet system, with different parts being acquired throughout the levels that can be equipped by accessing the pause menu. The different parts of the amulet can be equipped to change aspects of the characters Devil Triggers form like elemental moves, time stop abilities, faster movement, flight abilities, etc.","would give a zero if possible. gun button the game i cant even begin to list the problems in this game, dante is cool tho you know when you finish a level in a game and it feels like some major mechanic or feature was cut last minute and now it just feels disjointed boring and unmemorable. music and lucia were good, but just about everything else was a major step down. benadryl video game what the hell happened capcom",6400.0,56.0,1600.0,517.0,2.459334175272288,3.094777562862669,2003
867,bioshock infinite,X360,2013.0,Shooter,Take-Two Interactive,1.22,0.57,0.02,0.15,1.96,849,bioshock infinite,2013-02-26,"Irrational Games , 2K Games",3.5,1500.0,"Adventure , Shooter","BioShock Infinite is the third game in the BioShock series. It is not a direct sequel/prequel to any of the previous BioShock games but takes place in an entirely different setting, although it shares similar features, gameplay and concepts with the previous games. BioShock Infinite features a range of environments that force the player to adapt, with different weapons and strategies for each situation. Interior spaces feature close combat with enemies, but unlike previous games set in Rapture, the setting of Infinite contains open spaces with emphasis on sniping and ranged combat against as many as fifteen enemies at once.","i still like bioshock infinite, but yeah it has a lot of problems. its definitely not nearly as good as the previous bioshock games, going for a more linear, bog standard shooter than the sprawling kind that bioshock 1 and 2 went for. there was a time where this didnt bother me, but after playing more shooters, i do realize how generic infinites gameplay really can be. banco i remember being raging that this game didnt live up to the initial e3 trailer of the jumping about the rails. but i also remember crying at the end of it and listening to will the circle be unbroken over and over. this demands a replay. ive seen a lot of dissenting opinions in the past decade and wonder what id think of it now, especially its themes. for now, it is again presenting an intricate otherworld and maybe the plot tries to be too clever, but whatever  what an experience. played before 2023 i played this game as a kid and i enjoyed it, though a second playthrough made me notice the flaws more. the combat feels good for the most part, running around the arena by riding the sky rails and dropping down on enemies, intertwining magic and weapons together to fight, having elizabeth help with gameplay tied only to her it all feels good outisde of the only two weapons thing. that was dumb. the world of columbia is super cool and fun to explore. but the story is just terrible, especially the middle section. like absolutely awful. i hate it and playing the originals after this one made me realize why a lot of people thought that when it came out. i also heard the dlc ruins the canon in the original games as well, but i havent played it so i could be wrong. i still think it is a good game, but not as good as i thought. juego para gente con iq mayor al promedio",18000.0,197.0,4100.0,949.0,3.5352776109148296,4.3203371970495255,2013
874,crash nitro kart,Ps2,2003.0,Racing,Vivendi Games,0.74,1.01,0.0,0.2,1.95,1396,crash nitro kart,2003-11-11,"Vicarious Visions , Universal Interactive Studios",3.1,141.0,Racing,"Crash Bandicoot returns to the karting scene with a host of other characters from the adventure series, and this time they have both Neo Cortex and Emperor Velo to worry about. Velo has taken the crew to a remote planet, forced to race for their lives against Neo Cortex and his many evil doers.
             

              Choose from various game modes, from the straight into the action Arcade mode to Adventure mode, following Crash and the gang in the story to save Earth. Race against four friends in multiplayer battle modes, plus connect to the Gamecube for extra options and upload your high scores to the internet ranking system.",mario kart has some explaining to do its alright for a racing game. what happened here exactly it was pretty good kinda fun. racing dope. underrated,1700.0,4.0,139.0,52.0,3.5208692177857897,2.673076923076923,2003
875,grand theft auto: san andreas,Xb,2005.0,Action,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95,85,grand theft auto: san andreas,2004-10-26,"Rockstar Games , Rockstar North",4.1,1500.0,"Adventure , Racing , Shooter","Returning after his mother's murder to the semi-fictional city of Los Santos (based on Los Angeles), Carl Johnson, a former gang banger, must take back the streets for his family and friends by gaining respect and once again gaining control over the streets. However, a story filled with crime, lies and corruption will lead him to trudge the entire state of San Andreas (based on California and Nevada) to rebuild his life.","i thank this game for my childhood introduction to classic rock. top 5 games of all time 3 stars just for samp mod. jogava mais pra ficar explodindo os outro o modo historia nunca me chamou a atenção ill have two number 9s, a number 9 large, a number 6 with extra dip, a number 7, two number 45s, one with cheese, and a large soda. i could happily spend the entire game just shopping in binco and suburban.",19000.0,270.0,2400.0,742.0,3.9977647640494642,3.234501347708895,2004
887,batman: arkham origins,X360,2013.0,Action,Warner Bros. Interactive Entertainment,1.15,0.61,0.0,0.17,1.93,1003,batman: arkham origins,2013-10-16,"WB Games , WB Games Montréal",3.4,642.0,"Adventure , Brawler",Batman: Arkham Origins features an expanded Gotham City and introduces an original prequel storyline occurring several years before the events of Batman: Arkham Asylum and Batman: Arkham City.,"weird that the studio made gotham knights instead of trying to make another arkham game like this. this is good yeah it launched kinda fucked up, but its good now really makes you feel like batman. sure its not a masterpiece but definitely worth your time if youre into the arkham games. still not entirely sure why the game got so much flak when it first came out. still holds up great today though. great boss fights. aslyumdan önce bu oyunu oynadım oynanışı gayet güzel bossları diğer oyunlara göre iyi ki batman evreninde karakterlerin belli bir güzelliği var. ölünce gelen konuşmalar hoşuma gitti. enigma için uğraşmadım onun dışında gothamı temizledim hikayesi kötü değil diğer batmanleri daha oynamadığımdan kıyaslayamıyorum is nobody going to talk about how fun the multiplayer in this game was much better than most reviews at the time would have you belive, the christmas setting was a master stroke and the boss fights were pretty fire.",7800.0,125.0,1700.0,632.0,3.5040902856987666,2.689873417721519,2013
894,mario super sluggers,Wii,2008.0,Sports,Nintendo,1.51,0.0,0.29,0.12,1.93,1421,mario super sluggers,2008-06-19,"Namco Bandai Games , Nintendo",3.7,153.0,Sport,"Mario Super Sluggers, the sequel to Mario Superstar Baseball, continues the arcade-style gameplay of Mario sports games. Mario and friends are invited to the Baseball Kingdom to play games against each other. When Bowser hears this, he immediately interrupts the party.
             

              There are several game modes to choose from like in the previous game. In Exhibition mode, players play a single game against each other. Players can choose different options such as how many innings to play, if captains can use star powers (each captain has a different star swing and pitch), and toggle error items off and on (error items can be thrown at fielders).
             

              The single-player Challenge mode is different this time around. Instead of choosing a team captain, players start with Mario who must find teammates to take on Bowser Jr. and Bowser. Teammates aren't unlocked by playing a game rather they only join the team by clearing certain objectives. Most of the action takes place on areas with an overhead perspective; each area is based around a team captain. Each captain has a special ability to find teammates and coins, which are used to buy items to aid in the quest or in a game against Bowser Jr. or later against Bowser. More coins can be gotten in minigames.
             

              Toy Field mode is slightly different to the one featured in Mario Superstar Baseball. Like in the GameCube game, players take turns batting to get points; a turn is granted to whomever grabs and holds the ball after a certain amount of time has passed. Unlike in the previous game, however, fielders can attack each other to steal the ball away from whomever has it. The batter can also throw items at the fielders to cause them to drop the ball and grant the batter another turn.","make another mario baseball game its baseball but with all of the standard mario fun packed in. i never played the original so i wouldnt know if its better or worse, but this game is good, not amazing but good. shake the wii remote the game. i liked this game a lot when i was a kid, but when i came back to it with my brother and we realized just how much wagglin we were really doing it took a bit of the excitement away. the game is also pretty broken in terms of game balance, its wayyyy too easy to crack home run after home run. i think the presentation of the game is cool though, the roster has a lot of interesting characters to make your team out of, and you can even play during both the day and night which i always thought was cool. the stadiums to play in are super unique with fun gimmicks and aesthetics in each of them. its a fun mario baseball game, but not as good as its predecessor. this is the only sports game i actually enjoy. i have so many memories of playing this as a kid with my younger brother each moment was bliss any game that i had fun with as a kid and that my friends still enjoy playing today already starts at 3 and a half stars for me. this game has so much love put into it and it is amazing how much fun can be had when there is really only one game mode i care about. this game has a great roster and there are so many hidden gems such as toadsworth. as soon as i learned how good of a pitcher he is i managed to piss off my friend so bad that he jumped on me in real life. you can play without rng, but having a little bit is a fun way to add some variety to the game and get angry reactions from friends which is always fun. even the single player campaign is fun. my friends who grew up with it get a lot more out of it than anyone new to the game. other party games that i have feel more accesable to new players. that is a very minor gripe, however, and the game still deserves a very high rating. good game, but not as good as super mario baseball from gamecube",1800.0,4.0,133.0,81.0,3.665693206745006,1.6419753086419753,2008
896,the legend of zelda: oracle of ages,Gb,2001.0,Action,Nintendo,0.92,0.53,0.41,0.06,1.92,710,the legend of zelda: oracle of ages,2001-02-27,"Nintendo , Capcom",3.7,512.0,"Adventure , Rpg","The Legend of Zelda: Oracle of Ages is one of two Zelda titles released for the Game Boy Color, the other being Oracle of Seasons. The game retain many gameplay elements from Link's Awakening such as the graphics, audio and top-view perspective. It also features eight dungeons and a large overworld to explore like in the previous games. Oracle of Ages is said to be more puzzle-oriented than its counterpart being more action-oriented. After completing one of the two games, both can be linked to form a single linear plot with an alternate ending. Oracle of Ages and Oracle of Seasons were often credited as being two of the top games for the Game Boy Color.","dungeons are a bit too convoluted tbh. on to seasons novo like i stated in my seasons review, these two games together craft one of the most unique zelda experiences out there. especially with the way you link together the secrets. this is probably the worst official single player zelda that isnt lost to time. theres no interesting plot or characters, the world is boring and uninspired in terms of both its design and its contents, theres no notable music, the bosses are awful, the bafflingly terrible changes made to the game feel and dungeon layouts done by capcom are just as prominent here as they are in oos, but by far the worst aspect is the dungeons. they use the same rotating center wall gimmick multiple times in both games, and by the end it just feels lazy. speaking of lazy, yeah why not lock the boss key in dungeon 6 behind random chance oracle of ages was slightly more enjoyable than seasons , but still had a few frustrating moments. good dungeons but i have a really hard time figuring out where to go between them. something about the more compact world design and overt puzzle focus makes me totally lose my sense of direction, and the map doesnt really help at all. i feel like ill probably like seasons better.",2800.0,60.0,1500.0,492.0,3.678549301503401,3.048780487804878,2001
904,mario party 3,N64,2000.0,Misc,Nintendo,0.72,0.16,1.01,0.02,1.91,1354,mario party 3,2000-12-07,"Nintendo , Hudson Soft",3.7,219.0,Card & Board Game,"Mario Party 3 is the third and final Mario Party title for the Nintendo 64. A total of eight characters are available to choose from: Mario, Luigi, Princess Peach, Yoshi, Wario, Donkey Kong, and newcomers Waluigi and Princess Daisy. Mario Party 3 features duel maps, in which two players try to lower each other's stamina to zero using non-playable characters such as Chain Chomps. It is the first Mario Party game to feature Luigi's main voice and also it is last Mario game where Princess Daisy appears in a yellow and white dress, and with long hair, as well as the last Mario game (until New Super Mario Bros. Wii) in which Yoshi's ""record-scratching"" voice is used. It is also the first Mario Party game to have multiple save slots.","i made a custom monopoly board for this with a f you pit in the center that my friend dubbed the pest nest i lost on every single map we played so this game sucks actually waluigi is here baabyyyyyyyyyyy definitely the mario party on n64 with the most content. includes a story mode for those lonely players out there. as a multiplayer experience, its mario party. it basically does what you expect. really whether or not you should blast this or 2 just comes down to preference, since 2 is just 1 but with less hand pain, and this has entirely different minigames than 2 does. as a single player experience, it is kinda repetitive as well as the fact that winning mario party games is largely rng based, so sometimes the ai will just curbstomp you without you being able to do much about it. there are also unique duel maps that have an interesting different game mode attatched to them where you have partners fight each other and what not. all in all, its mario party. this is also the only n64 mario party to have waluigi and daisy, so fans of those characters should pick this over 2. also this game has most of the actual mario voices instead of the weird voices that were in the first 2 games as well, so its definitely a different vibe. probably the strongest in the classic trilogy. história boa, minigames incríveis e tabuleiros fantásticos best n64 party",2800.0,6.0,168.0,123.0,3.6690980914891105,1.3658536585365855,2000
905,star wars: the force unleashed,Wii,2008.0,Action,Lucasarts,1.14,0.57,0.0,0.19,1.91,595,star wars: the force unleashed,2008-09-16,"THQ Wireless , Aspyr Media",3.2,417.0,"Adventure , Brawler , Rpg","Star Wars: The Force Unleashed is a Star Wars video game that takes place between the films Star Wars: Episode III Revenge of the Sith and Star Wars: Episode IV A New Hope. It is the centerpiece of the Star Wars: The Force Unleashed multimedia project,
             

              Star Wars: The Force Unleashed completely re-imagines the scope and scale of the Force and casts players as Darth Vader’s ""Secret Apprentice,"" unveiling new revelations about the Star Wars galaxy seen through the eyes of a mysterious new character armed with unprecedented powers.
             

              The game showcases Digital Molecular Matter (DMM), an extremely detailed and realistic material physics engine developed by Pixelux, and Euphoria, a realistic bio-mechanical A.I. engine by NaturalMotion","okay really makes you feel like a jedi this really is one of the better star wars games. ladies and gentlemen, we have yet another action adventure game made by disney in 2000s and as you would expect it, it sucks ass. i loved the game as a young kid. it delivers as a solid star wars game. while i cant vouch for it for people who dont already like star wars, its definitely worth playing for fans of the franchise who are interested in experiencing a rather unique star wars story. decent action game that loses its charm fast if youre not a star wars fan. combat is ok  bossfights are fine, but everything else just feels bland  empty. the levels are big  can go on for ages, with very little life outside of enemy encounters.",7400.0,50.0,823.0,350.0,3.4345889117500095,2.3514285714285714,2008
910,max payne 3,Ps3,2012.0,Shooter,Take-Two Interactive,0.59,0.92,0.06,0.32,1.9,1082,max payne 3,2012-05-15,"Rockstar Games , Rockstar Vancouver",3.7,593.0,Shooter,"Max Payne 3 is a third-person shooter in which the player assumes the role of its titular character, Max Payne. A new feature to the series, introduced in Max Payne 3, is the cover system, which allows players to gain a tactical advantage, and avoid taking damage from enemies. To progress through the linear story, players take on enemies throughout levels. The game features interactive cutscenes which transition seamlessly into continuing gameplay; there are no loading screens across gameplay and cutscenes.","its funny how third person shooters have never surpassed this. if you replay without the cut scene skip mod i feel bad for you. max, theyre coming glitch effect max falls down drunk in hotel room glitch effect my hangover was repeating the mistakes of last night to me, like an unskippable cutscene burned into my grey matter glitch effect excellent game, like really brilliant storytelling and fun gameplay. with a multiplayer that was also really fun. long live the white mambas. karım beni travmatize etti ve yaşlandım the only aaa game with soul terminando a trilogia max payne da melhor maneira possível rockstar provavelmente finalizando a franquia com uma historia q eu achei bem mediana mas cumpre bem o seu papel a gameplay como era de se esperar tem enormes evoluções, junto com seus gráficos maravilhosos e encantam até hj em dia e queria dizer o quão incrível foi a ambientação q eles fizeram do brasil, as favelas são muito bem feitas pra algo de 2012, só faltou capricho na dublagens das falas br, mas isso da pra passar pano esperamos um dia a franquia volte pra uma sequencia q encerre a jornada do max.",5600.0,43.0,1000.0,518.0,3.680221588874166,1.9305019305019304,2012
924,donkey kong country returns,3Ds,2013.0,Platform,Nintendo,0.73,0.62,0.4,0.12,1.87,598,donkey kong country returns,2010-11-21,"Retro Studios , Nintendo",3.9,521.0,"Adventure , Platform","Under the influence of a group of evil Tikis, the animals of Donkey Kong Island have raided Donkey Kong's banana hoard and stolen his stash of bananas - and being an ape of large appetites he understandably wants them back. Good thing that you are along for the ride. With Donkey Kong Country Returns, Retro Studios brings Donkey Kong back to a banana and platforming hungry public in a new side-scrolling adventure with familiar characters and new levels that reignite the passion players had for the Super NES original and all things Donkey Kong.","jogão still remember how excited i was when i got this game because i wasnt an anhedoniariddled cynic back then lol pretty standard platformer. some people dont like the constant wiimote wagglin but i was fine with it tbh. level themes and designs were okay, with some standout exceptions like the cool silhouette levels. has a really dumb final boss so watch out. overall not as good as the snes trilogy but okay in its own rights this game fucking slaps, and despite having a pretty sizeable length for the genre its in, it leaves you feeling like you played a proof of concept for something much greater. it felt like this to me even before tropical freeze existed, but its especially clear now where the missteps were in this game to much shaking if the stock market ever crashes i will spam the gif of dk hitting the moon on every single wsb thread i find",5300.0,67.0,1100.0,443.0,3.786504892285686,2.4830699774266365,2010
925,the legend of zelda: oracle of seasons,Gb,2001.0,Adventure,Nintendo,0.87,0.52,0.41,0.06,1.86,1182,the legend of zelda: oracle of seasons,2001-02-27,"Nintendo , Capcom",3.7,544.0,"Adventure , Rpg","The Legend of Zelda: Oracle of Seasons is one of two Zelda titles released for the Game Boy Color, the other being Oracle of Ages. The game retain many gameplay elements from Link's Awakening such as the graphics, audio and top-view perspective. It also features eight dungeons and a large overworld to explore like in the previous games. Oracle of Seasons is said to be more action-oriented than its counterpart being more puzzle-oriented. After completing one of the two games, both can be linked to form a single linear plot with an alternate ending. Oracle of Seasons and Oracle of Ages were often credited as being two of the top games for the Game Boy Color.","i got lost and every time i play this again i cant remember where to go or what to do. de i already thought links awakening was a masterpiece but having finally beaten this and ages i can safely say they far surpass it. how they managed to cram such a deep interconnected set of games together is amazing. defintely one of the most unique zelda games ive ever played. this shit was the bomb back in 4th grade theres so much about this game that i just hate. the invincibility frame time, the nonuniformity of dungeon room sizes, the 1st 4 dungeons in general, most of the bosses, the animal buddies, the wasted potential of the ring system... but its not the worst. exploration is great, the seasons mechanic is cool, and the last 4 dungeons are alright. also, for some reason, they made tarm ruins a completely perfect area. its almost jarring how brilliant literally everything about it is. this was a hit or miss experience for me. i think this game had a lot of great ideas that were hampered by the technical limitations and design quirks of the time. let me give you a couple of examples",3100.0,65.0,1600.0,489.0,3.679242657414403,3.2719836400817996,2001
934,chrono cross,Ps,1999.0,Role-Playing,Squaresoft,0.62,0.42,0.69,0.12,1.86,1107,chrono cross,1999-11-18,Square,4.0,554.0,Rpg,"CHRONO CROSS, the sequel to the SNES favorite CHRONO TRIGGER, is one of the most ambitious role-playing games ever made. There are over 40 playable characters, each with their back-story, special moves, abilities, and weapons. The story spans two discs and follows the story of Serge, a young man who is able to cross dimensions. Suddenly he is pulled between worlds, trying to figure out his own past at the same time. The graphics are bright and beautiful, utilizing the PlayStation's capabilities to the fullest. The polygonal character models are huge and detailed, and the pre-rendered backgrounds are immaculately detailed. The music is composed and arranged by Yasunori Mitsuda, and features very realistic-sounding synthesizers. The battle system revolves around Elements, which are used to grant magical powers, as well as to summon huge monsters. For anyone that wanted to see the story of CHRONO TRIGGER continue, this is your chance.","chrono cross foi um jogo que eu demorei um tempo pra decidir terminar ele, desde criança até mais adulto, sempre jogava chegava em um certo ponto do game e parava de jogar e então por n motivos acaba perdendo o save do jogo, mas hoje finalmente pude terminar essa obra prima de jogo. assim como seu antecessor chrono trigger, este jogo é um maravilha. em minha opinião este jogo acaba não sendo melhor que seu antecessor, mas isso não faz dele um jogo ruim nem de longe. as mecânicas do jogo são bem diferentes de qualquer outro rpg, tanto que se você pega esse jogo pra jogar logo após o anterior você acaba ficando perdido, mas não se engane pois as mecânicas desse jogo são muito bem feitas, uma única critica que tenho é pelo sistema de field que você pode passar um aperto se quiser usar os summons do game, mas de resto, é uma sistema totalmente funcional e bem feito. a trilha sonora do game é impecável, assim como seu antecessor, o jogo está repleto de musicas épicas e emocionantes. a historia do game pode ser um pouco confusa se comparar com chrono trigger mas acompanhar ela desde o inicio ao fim me emocionou quando eu finalmente consegui terminar. alerta para quem tem facilidade em se emocionar, talvez você chore com o final desse jogo. pontos ruins desse jogo como eu já disse, é o sistema de field que pode se tornar um pouco difícil de entender e conseguir completar a field inteira com uma cor só e também pelos chefes do jogo serem um pouco fáceis, principalmente o ultimo chefe, outro ponto negativo é que pelo fato de terem muitos personagens no jogo, muitos deles acabam não sendo utilizados pois você se acostuma muito com uma equipe e não quer trocar por nada. num geral eu dou a minha nota de 45 pra esse jogo, recomendo a todos os fãs de jrpg por ai jogarem e experimentarem essa aventura maluca envolvendo mundos alternativos. the combat is really terrible and the story breaks down really hard at the end, but the aesthetic is unmatched. what a vibe, what a head trip. an great idea, however there are a few points that should be considered when talking about this game a great game both in spite and because of its connections to the masterful chrono trigger. while it took me a little while to come to grips with the combat system, i wound up liking it a lot once i did. the storys really existential and fascinating, if clunky and convoluted. absolutely excellent music and art direction, with its bright colors saturating coral reefs and coastal towns. it may not be chrono trigger, but it makes a statement all its own im more of a chrono trigger guy myself, but ive tried to enjoy this game. i attempted to sit down and play this game 3 separate times throughout the years... but each attempt always ends with me putting the game down. theres just something about the battle system and the main battle theme that puts me off. the rest of its soundtrack is absolutely incredible though the only thing better than the game itself is that fire soundtrack.",1700.0,60.0,1500.0,768.0,3.845650230840259,1.953125,1999
941,infamous 2,Ps3,2011.0,Action,Sony Computer Entertainment,1.05,0.49,0.08,0.23,1.85,742,infamous 2,2011-06-07,"Sucker Punch Productions , Sony Computer Entertainment, Inc. (SCEI)",3.7,409.0,"Adventure , Brawler , Puzzle","Blamed for the destruction of Empire City and haunted by the ghosts of his past, reluctant hero Cole MacGrath makes a dramatic journey to the historic Southern city of New Marais in an effort to discover his full super-powered potential -- and face a civilization-ending confrontation with a dark and terrifying enemy from his own future. Gifted with extraordinary god-like abilities, Cole alone has the power to save humanity, but the question is-- will he choose to do so?","this is a fun game for just wandering around doing whatever. that said, they couldve stood to give the random townsfolk more ambient dialogue. i have heard screw yall screw aa too many times. great ending but the pacing for the rest of the game is kinda wack and while the melee is much better here, i kinda prefer the shooting powers of the original game because of the lack of energy drain from normal shots worse than the first game for me. im just like the beast. infravalorado still one of the best superhero games.",4400.0,21.0,674.0,343.0,3.6759651822693087,1.9650145772594751,2011
943,demon's souls,Ps3,2009.0,Role-Playing,Namco Bandai Games,0.97,0.34,0.35,0.18,1.84,186,demon's souls,2020-11-12,"Bluepoint Games , Sony Interactive Entertainment",3.9,880.0,"Adventure , Rpg","Entirely rebuilt from the ground up and masterfully enhanced, Demon's Souls is a remake of the 2009 release that introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality with incredible performance. The remake features improved graphics and animations, sound and lighting tweaks and a reimagining of many of the visual, musical and mechanical aspects of the original game.","world tendency gives me unneeded anxiety now do bloodborne not the best souls game, but as the very first in the genre its pretty dang good. short, but good. i didnt mind the healing system as much after getting past the tower knight. dont give up that last half a star is cuz of the healing items boletaria é uma das paradas mais surreais que eu já vi i expected so much of this,but its not bad at all",4100.0,403.0,2400.0,2100.0,3.817232451614071,1.1428571428571428,2020
949,just cause 3,Ps4,2015.0,Action,Square Enix,0.46,1.02,0.07,0.28,1.83,677,just cause 3,2015-11-30,"Avalanche Studios , Square Enix",3.1,269.0,Adventure,"The Mediterranean republic of Medici is suffering under the brutal control of General Di Ravello, a dictator with an insatiable appetite for power. Enter Rico Rodriguez, a man on a mission to destroy the General’s hold on power by any means necessary. With over 400 square miles of complete freedom from sky to seabed and a huge arsenal of weaponry, gadgets and vehicles, prepare to unleash chaos in the most creative and explosive ways you can imagine.","i dont know why, but blowing things up in these games has always been really boring to me  and thats supposed to be the selling point, it really doesnt have much else going for it besides that. looks pretty. reminder this only exists because a communitymade multiplayer mod revived just cause 2 this game is good fun if you enjoy mindless explosions. i do. also i think the setting is pretty. first played it at comiccon, seemed fun enough, played it at home later on and was just pure sandbox carnage. medici is better than just cause 4. formula 1, and just casual driving. simple mayhem with a big map. not much else to say. just chaos 3 é o tipo de jogo que é só pra descontrair passar um tempo fazendo só besteira",4900.0,93.0,1000.0,155.0,3.4455247983779835,6.451612903225806,2015
