Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2440,blazing angels: squadrons of wwii,Wii,2007.0,Simulation,Ubisoft,0.74,0.04,0.0,0.06,0.85
2441,castlevania iii: dracula's curse,Nes,1989.0,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85
2442,harry potter and the order of the phoenix,Ds,2007.0,Action,Electronic Arts,0.28,0.47,0.0,0.1,0.85
2443,rampage world tour,Ps,1997.0,Action,Gt Interactive,0.47,0.32,0.0,0.06,0.85
2444,burnout legends,Psp,2005.0,Racing,Electronic Arts,0.7,0.06,0.0,0.09,0.85
2445,wwe 2k15,Ps3,2014.0,Sports,Take-Two Interactive,0.36,0.35,0.0,0.14,0.85
2446,overwatch,Xone,2016.0,Shooter,Activision,0.52,0.25,0.0,0.08,0.85
2447,ratatouille,Ps2,2007.0,Action,Thq,0.31,0.0,0.0,0.53,0.85
2448,nfl gameday,Ps,1995.0,Sports,Sony Computer Entertainment,0.47,0.32,0.0,0.06,0.85
2449,burnout 2: point of impact,Ps2,2002.0,Racing,Acclaim Entertainment,0.42,0.32,0.0,0.11,0.85
2450,kirby: planet robobot,3Ds,2016.0,Action,Nintendo,0.26,0.1,0.44,0.04,0.85
2451,street fighter ex3,Ps2,2000.0,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85
2452,karaoke revolution glee,Wii,2010.0,Misc,Konami Digital Entertainment,0.52,0.25,0.0,0.07,0.85
2453,sniper elite v2,X360,2012.0,Shooter,505 Games,0.46,0.29,0.02,0.07,0.85
2454,thief (2014),Ps4,2014.0,Action,Square Enix,0.28,0.37,0.03,0.16,0.84
2455,spider-man 2,Gc,2004.0,Action,Activision,0.65,0.17,0.0,0.02,0.84
2456,golden sun: dark dawn,Ds,2010.0,Role-Playing,Nintendo,0.56,0.11,0.13,0.05,0.84
2457,tiger woods pga tour 11,Ps3,2010.0,Sports,Electronic Arts,0.37,0.34,0.0,0.13,0.84
2458,devil may cry hd collection,Ps3,2012.0,Action,Capcom,0.42,0.21,0.11,0.1,0.84
2459,mlb 16: the show,Ps4,2016.0,Action,Sony Computer Entertainment,0.68,0.0,0.0,0.16,0.84
2460,nba 2k10,Ps3,2009.0,Sports,Take-Two Interactive,0.75,0.01,0.01,0.07,0.84
2461,xenoblade chronicles x,Wiiu,2015.0,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84
2462,petz dogz fashion,Ds,2008.0,Simulation,Ubisoft,0.46,0.3,0.0,0.09,0.84
2463,the incredibles,Gc,2004.0,Action,Thq,0.65,0.17,0.0,0.02,0.84
2464,ncaa football 11,Ps3,2010.0,Sports,Electronic Arts,0.79,0.0,0.0,0.06,0.84
2465,dragon age ii,Ps3,2011.0,Action,Electronic Arts,0.4,0.27,0.05,0.12,0.84
2466,atv quad power racing 2,Ps2,2003.0,Racing,Acclaim Entertainment,0.41,0.32,0.0,0.11,0.84
2467,harvest moon: tree of tranquility,Wii,2007.0,Simulation,Rising Star Games,0.69,0.03,0.06,0.06,0.84
2468,final fantasy,Nes,1987.0,Role-Playing,Squaresoft,0.32,0.0,0.52,0.0,0.84
2469,street fighter x tekken,Ps3,2012.0,Fighting,Capcom,0.42,0.22,0.1,0.1,0.84
2470,rocket power: team rocket rescue,Ps,2001.0,Sports,Thq,0.47,0.32,0.0,0.05,0.84
2471,duke nukem forever,X360,2011.0,Shooter,Take-Two Interactive,0.52,0.25,0.0,0.07,0.84
2472,big mutha truckers,Ps2,2002.0,Racing,Empire Interactive,0.41,0.32,0.0,0.11,0.84
2473,borderlands: the handsome collection,Ps4,2015.0,Shooter,Take-Two Interactive,0.36,0.32,0.03,0.14,0.84
2474,rogue galaxy,Ps2,2005.0,Role-Playing,Sony Computer Entertainment,0.24,0.16,0.39,0.05,0.84
2475,espn college hoops 2k5,Ps2,2004.0,Sports,Sega,0.41,0.32,0.0,0.11,0.84
2476,metroid: zero mission,Gba,2004.0,Adventure,Nintendo,0.6,0.22,0.0,0.01,0.84
2477,fifa 15,Psv,2014.0,Sports,Electronic Arts,0.13,0.48,0.04,0.19,0.84
2478,time crisis 4,Ps3,2007.0,Shooter,Namco Bandai Games,0.32,0.33,0.05,0.14,0.84
2479,ben 10: protector of earth,Ps2,2007.0,Action,D3Publisher,0.09,0.0,0.0,0.74,0.84
2480,need for speed rivals,X360,2013.0,Racing,Electronic Arts,0.37,0.38,0.01,0.08,0.84
2481,q*bert,Ps,1999.0,Puzzle,Atari,0.46,0.32,0.0,0.05,0.84
2482,wwe smackdown vs. raw 2009,Wii,2008.0,Fighting,Thq,0.44,0.31,0.0,0.08,0.83
2483,ace combat 3: electrosphere,Ps,1999.0,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83
2484,dynasty warriors 2,Ps2,2000.0,Action,Thq,0.24,0.19,0.34,0.06,0.83
2485,battle of giants: dinosaurs,Ds,2008.0,Strategy,Ubisoft,0.38,0.37,0.0,0.09,0.83
2487,lizzie mcguire 2: lizzie diaries,Gba,2004.0,Action,Disney Interactive Studios,0.6,0.22,0.0,0.01,0.83
2488,borderlands 2,Psv,2014.0,Shooter,Take-Two Interactive,0.43,0.21,0.01,0.19,0.83
2489,fifa soccer world championship,Ps2,2000.0,Sports,Electronic Arts,0.27,0.21,0.28,0.07,0.83
2490,brute force,Xb,2003.0,Shooter,Microsoft Game Studios,0.62,0.18,0.01,0.03,0.83
2491,dance central 3,X360,2012.0,Misc,Microsoft Game Studios,0.57,0.2,0.0,0.06,0.83
2492,yu-gi-oh! dark duel stories,Gb,2000.0,Misc,Konami Digital Entertainment,0.0,0.0,0.83,0.0,0.83
2493,the game of life,Ps,1998.0,Misc,Unknown,0.46,0.31,0.0,0.05,0.83
2494,mega man legends,Ps,1997.0,Adventure,Capcom,0.39,0.26,0.12,0.05,0.83
2495,ncaa football 12,Ps3,2011.0,Sports,Electronic Arts,0.78,0.0,0.0,0.05,0.83
2496,sly 3: honor among thieves,Ps2,2005.0,Platform,Sony Computer Entertainment,0.69,0.03,0.0,0.11,0.83
2497,the price is right,Wii,2008.0,Misc,Ubisoft,0.77,0.0,0.0,0.06,0.83
2498,sid meier's civilization revolution,X360,2008.0,Strategy,Take-Two Interactive,0.58,0.17,0.0,0.07,0.83
2500,i spy: fun house,Ds,2007.0,Puzzle,Scholastic Inc.,0.77,0.0,0.0,0.06,0.83
2501,the amazing spider-man (console version),Ps3,2012.0,Action,Activision,0.31,0.37,0.0,0.14,0.83
2502,dragon ball: raging blast 2,Ps3,2010.0,Fighting,Namco Bandai Games,0.42,0.2,0.11,0.09,0.83
2503,medievil,Ps,1998.0,Platform,Sony Computer Entertainment,0.46,0.31,0.0,0.05,0.83
2504,casper,Ps,1996.0,Adventure,Interplay,0.46,0.31,0.0,0.05,0.83
2505,deca sports 2,Wii,2009.0,Sports,Hudson Soft,0.33,0.34,0.09,0.07,0.82
2506,james bond 007: nightfire,Xb,2002.0,Shooter,Electronic Arts,0.58,0.22,0.0,0.03,0.82
2507,madden nfl 17,Xone,2016.0,Sports,Electronic Arts,0.72,0.02,0.0,0.09,0.82
2508,tony hawk's underground 2 remix,Psp,2005.0,Sports,Activision,0.46,0.21,0.0,0.15,0.82
2509,tony hawk's pro skater 3,Gc,2001.0,Sports,Activision,0.64,0.17,0.0,0.02,0.82
2510,marvel: ultimate alliance,Ps2,2006.0,Role-Playing,Activision,0.69,0.03,0.0,0.11,0.82
2511,star wars the clone wars: republic heroes,Wii,2009.0,Action,Lucasarts,0.44,0.3,0.0,0.08,0.82
2512,dj hero 2,X360,2010.0,Misc,Activision,0.64,0.12,0.0,0.06,0.82
2513,street fighter v,Ps4,2016.0,Fighting,Capcom,0.35,0.26,0.08,0.13,0.82
2514,need for speed: hot pursuit 2,Xb,2002.0,Racing,Electronic Arts,0.68,0.11,0.0,0.03,0.82
2515,clu clu land,Nes,1984.0,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82
2516,killer instinct gold,N64,1996.0,Fighting,Nintendo,0.61,0.19,0.0,0.01,0.82
2517,amped: freestyle snowboarding,Xb,2001.0,Sports,Microsoft Game Studios,0.69,0.11,0.0,0.02,0.82
2518,custer's revenge,2600,1981.0,Action,Mystique,0.76,0.05,0.0,0.01,0.82
2519,medievil: resurrection,Psp,2005.0,Adventure,Sony Computer Entertainment,0.19,0.41,0.0,0.22,0.82
2520,dmc: devil may cry,Ps3,2013.0,Action,Capcom,0.24,0.28,0.19,0.12,0.82
2521,tales of the abyss,3Ds,2011.0,Role-Playing,Namco Bandai Games,0.42,0.19,0.14,0.06,0.82
2522,rocket power: beach bandits,Ps2,2002.0,Platform,Thq,0.4,0.31,0.0,0.1,0.82
2523,guitar hero: warriors of rock,Ps3,2010.0,Misc,Activision,0.33,0.35,0.0,0.14,0.82
2524,hasbro family game night 3,Wii,2010.0,Misc,Electronic Arts,0.47,0.28,0.0,0.07,0.82
2525,madden nfl 16,Ps3,2015.0,Sports,Electronic Arts,0.56,0.11,0.0,0.15,0.82
2526,stranglehold,X360,2007.0,Shooter,Midway Games,0.4,0.33,0.01,0.09,0.82
2527,imagine: rock star,Ds,2008.0,Simulation,Ubisoft,0.4,0.33,0.0,0.09,0.82
2528,shin megami tensei: persona 4,Ps2,2008.0,Role-Playing,Atlus,0.34,0.04,0.36,0.08,0.82
2529,singstar vol. 2,Ps3,2008.0,Misc,Sony Computer Entertainment,0.29,0.4,0.0,0.13,0.82
2531,madden nfl 25,Ps4,2013.0,Sports,Electronic Arts,0.62,0.13,0.0,0.07,0.82
2532,twisted metal (2012),Ps3,2012.0,Action,Sony Computer Entertainment,0.67,0.07,0.0,0.07,0.82
2533,dragon warrior iii,Gb,2000.0,Role-Playing,Enix Corporation,0.0,0.0,0.81,0.0,0.81
2534,disney's the little mermaid: ariel's undersea adventure,Ds,2006.0,Action,Disney Interactive Studios,0.73,0.03,0.0,0.06,0.81
2535,ready 2 rumble boxing: round 2,Ps2,2000.0,Fighting,Midway Games,0.4,0.31,0.0,0.1,0.81
2536,kamaitachi no yoru,Snes,1994.0,Adventure,Chunsoft,0.0,0.0,0.81,0.0,0.81
2537,patapon,Psp,2007.0,Misc,Sony Computer Entertainment,0.33,0.25,0.07,0.17,0.81
2538,tales of destiny ii,Ps,2000.0,Role-Playing,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81
2539,super bomberman 2,Snes,1994.0,Puzzle,Hudson Soft,0.0,0.0,0.81,0.0,0.81
2540,nascar 2001,Ps,2000.0,Racing,Electronic Arts,0.45,0.31,0.0,0.05,0.81
2541,ea sports active nfl training camp,Wii,2010.0,Sports,Electronic Arts,0.77,0.0,0.0,0.05,0.81
2542,the legend of zelda: four swords adventures,Gc,2004.0,Action,Nintendo,0.63,0.16,0.0,0.02,0.81
2543,jikkyou powerful pro yakyuu '99 kaimakuban,Ps,1999.0,Sports,Konami Digital Entertainment,0.0,0.0,0.76,0.05,0.81
2544,guitar hero live,Ps4,2015.0,Misc,Activision,0.32,0.35,0.0,0.13,0.81
2545,valkyrie profile,Ps,1999.0,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05,0.81
2546,final fantasy type-0,Psp,2011.0,Role-Playing,Unknown,0.0,0.0,0.81,0.0,0.81
2547,pro evolution soccer 2010,X360,2009.0,Sports,Konami Digital Entertainment,0.12,0.58,0.03,0.08,0.81
2548,army men: sarge's heroes,N64,1999.0,Action,3Do,0.68,0.12,0.0,0.01,0.81
2549,mega man,Nes,1987.0,Platform,Capcom,0.45,0.08,0.27,0.01,0.81
2550,tom clancy's rainbow six 3,Ps2,2004.0,Shooter,Ubisoft,0.4,0.31,0.0,0.1,0.81
2551,lego batman 3: beyond gotham,Ps3,2014.0,Action,Warner Bros. Interactive Entertainment,0.33,0.35,0.0,0.13,0.81
2552,earthbound,Snes,1994.0,Role-Playing,Nintendo,0.0,0.0,0.81,0.0,0.81
2553,dirt 2,X360,2009.0,Racing,Codemasters,0.32,0.4,0.0,0.09,0.81
2554,professor layton vs phoenix wright: ace attorney,3Ds,2012.0,Puzzle,Level 5,0.2,0.26,0.3,0.04,0.81
2555,the next tetris,Ps,1998.0,Puzzle,Atari,0.45,0.31,0.0,0.05,0.81
2556,dying light,Xone,2015.0,Action,Warner Bros. Interactive Entertainment,0.43,0.3,0.01,0.07,0.81
2557,ncaa football 10,Ps3,2009.0,Sports,Electronic Arts,0.75,0.0,0.0,0.06,0.81
2558,ben 10: alien force,Wii,2008.0,Action,Koch Media,0.52,0.21,0.0,0.07,0.81
2559,world soccer jikkyou winning eleven 3: world cup france '98,Ps,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.75,0.05,0.81
2560,final fantasy xi: wings of the goddess,Ps2,2007.0,Role-Playing,Square Enix,0.35,0.27,0.09,0.09,0.81
2561,the sims 2,Ps2,2005.0,Simulation,Electronic Arts,0.67,0.03,0.0,0.11,0.81
2562,guitar hero: metallica,X360,2009.0,Misc,Activision,0.52,0.21,0.0,0.07,0.81
2563,ncaa football 14,Ps3,2013.0,Sports,Electronic Arts,0.75,0.0,0.0,0.06,0.8
2564,madworld,Wii,2009.0,Action,Sega,0.46,0.25,0.02,0.07,0.8
2565,fight night champion,X360,2011.0,Fighting,Electronic Arts,0.4,0.33,0.0,0.07,0.8
2566,who wants to be a millionaire,Ps,2000.0,Misc,Eidos Interactive,0.45,0.3,0.0,0.05,0.8
2567,yakuza,Ps2,2005.0,Action,Sega,0.03,0.02,0.74,0.01,0.8
2568,star wars rogue squadron iii: rebel strike,Gc,2003.0,Simulation,Lucasarts,0.62,0.16,0.0,0.02,0.8
2569,abba: you can dance,Wii,2011.0,Misc,Ubisoft,0.19,0.5,0.0,0.11,0.8
2570,moto racer,Ps,1997.0,Racing,Electronic Arts,0.45,0.3,0.0,0.05,0.8
2571,hitman: contracts,Ps2,2004.0,Shooter,Eidos Interactive,0.39,0.31,0.0,0.1,0.8
2572,the sims 2: pets,Psp,2006.0,Simulation,Electronic Arts,0.19,0.39,0.0,0.22,0.8
2573,final fantasy anthology,Ps,1999.0,Role-Playing,Square Ea,0.45,0.3,0.0,0.05,0.8
2574,aliens: colonial marines,X360,2013.0,Shooter,Sega,0.36,0.37,0.0,0.07,0.8
2575,pro evolution soccer 2010,Psp,2009.0,Sports,Konami Digital Entertainment,0.09,0.33,0.2,0.18,0.8
2576,[prototype 2],X360,2012.0,Action,Activision,0.48,0.25,0.0,0.07,0.8
2577,sonic & sega all-stars racing with banjo-kazooie,X360,2010.0,Racing,Sega,0.37,0.35,0.0,0.07,0.8
2578,goldeneye 007: reloaded,Ps3,2011.0,Shooter,Activision,0.33,0.35,0.0,0.13,0.8
2579,nba 2k16,Ps3,2015.0,Sports,Take-Two Interactive,0.44,0.19,0.03,0.13,0.8
2580,all star cheer squad,Wii,2008.0,Sports,Thq,0.43,0.29,0.0,0.08,0.8
2581,the sims 2: castaway,Psp,2007.0,Simulation,Electronic Arts,0.08,0.46,0.0,0.25,0.8
2582,prince of persia: warrior within,Xb,2004.0,Action,Ubisoft,0.48,0.28,0.0,0.04,0.8
2583,dragon's dogma,X360,2012.0,Role-Playing,Capcom,0.42,0.24,0.07,0.06,0.8
2584,darksiders ii,X360,2012.0,Action,Thq,0.45,0.28,0.0,0.07,0.8
2585,resident evil: revelations,Ps3,2013.0,Action,Capcom,0.14,0.32,0.22,0.12,0.8
2586,rayman raving rabbids 2,Ds,2007.0,Misc,Ubisoft,0.73,0.01,0.0,0.06,0.8
2587,super robot taisen α,Ps,2000.0,Strategy,Banpresto,0.0,0.0,0.75,0.05,0.8
2589,need for speed: hot pursuit 2,Gc,2002.0,Racing,Electronic Arts,0.68,0.09,0.0,0.02,0.8
2590,star wars: the force unleashed ii,Wii,2010.0,Action,Lucasarts,0.54,0.19,0.0,0.06,0.8
2591,band hero,X360,2009.0,Misc,Activision,0.51,0.22,0.0,0.07,0.8
2592,mario & sonic at the sochi 2014 olympic winter games,Wiiu,2013.0,Sports,Nintendo,0.39,0.22,0.13,0.06,0.8
2593,tales of destiny 2,Ps2,2002.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.8,0.0,0.8
2594,capcom's soccer shootout,Snes,1993.0,Sports,Nintendo,0.0,0.0,0.8,0.0,0.8
2595,sniper: ghost warrior,Ps3,2011.0,Shooter,City Interactive,0.26,0.36,0.04,0.14,0.8
2596,the godfather ii,X360,2009.0,Action,Electronic Arts,0.47,0.24,0.01,0.08,0.79
2597,pro evolution soccer 2011,Psp,2010.0,Sports,Konami Digital Entertainment,0.05,0.3,0.29,0.16,0.79
2598,alien,2600,1981.0,Action,20Th Century Fox Video Games,0.74,0.04,0.0,0.01,0.79
2599,dragon ball z: budokai tenkaichi 2,Ps2,2006.0,Fighting,Atari,0.66,0.02,0.0,0.11,0.79
2600,the walking dead: season one,Ps3,2012.0,Adventure,Avanquest Software,0.4,0.25,0.03,0.11,0.79
2601,rayman origins,X360,2011.0,Platform,Ubisoft,0.38,0.34,0.0,0.08,0.79
2602,guitar hero: aerosmith,Ps2,2008.0,Misc,Activision,0.61,0.0,0.0,0.18,0.79
2603,ridge racer,Ps,1994.0,Racing,Sony Computer Entertainment,0.0,0.0,0.74,0.05,0.79
2604,final fantasy tactics a2: grimoire of the rift,Ds,2007.0,Role-Playing,Square Enix,0.42,0.03,0.3,0.04,0.79
2605,harvest moon: a wonderful life,Gc,2003.0,Role-Playing,Ubisoft,0.61,0.16,0.0,0.02,0.79
2606,momotarou dentetsu 7,Ps,1997.0,Simulation,Hudson Entertainment,0.0,0.0,0.74,0.05,0.79
2607,invizimals,Psp,2009.0,Strategy,Sony Computer Entertainment,0.17,0.51,0.0,0.11,0.79
2608,motocross mania,Ps,2001.0,Racing,Take-Two Interactive,0.44,0.3,0.0,0.05,0.79
2609,tiger woods pga tour 10,Ps3,2009.0,Sports,Electronic Arts,0.42,0.25,0.0,0.12,0.79
2610,star wars the clone wars: jedi alliance,Ds,2008.0,Action,Lucasarts,0.62,0.11,0.0,0.07,0.79
2611,wcw mayhem,N64,1999.0,Fighting,Electronic Arts,0.63,0.15,0.0,0.01,0.79
2612,mega man 5,Nes,1992.0,Platform,Capcom,0.39,0.07,0.32,0.01,0.79
2613,star ocean: the last hope,X360,2009.0,Role-Playing,Square Enix,0.32,0.2,0.21,0.06,0.79
2614,dance dance revolution supernova 2,Ps2,2007.0,Simulation,Konami Digital Entertainment,0.64,0.03,0.02,0.1,0.79
2615,armored core 2,Ps2,2000.0,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79
2616,dragon quest monsters 2,3Ds,2014.0,Role-Playing,Square Enix,0.0,0.0,0.79,0.0,0.79
2617,ghost squad,Wii,2007.0,Shooter,Sega,0.42,0.21,0.08,0.07,0.79
2618,dead island: riptide,X360,2013.0,Action,Deep Silver,0.44,0.27,0.01,0.07,0.79
2619,drawn to life,Ds,2007.0,Action,Thq,0.71,0.02,0.0,0.06,0.79
2620,major league baseball featuring ken griffey jr,N64,1998.0,Sports,Nintendo,0.75,0.03,0.0,0.01,0.79
2621,fifa 12,Wii,2011.0,Sports,Electronic Arts,0.16,0.52,0.0,0.11,0.79
2622,too human,X360,2008.0,Role-Playing,Microsoft Game Studios,0.38,0.3,0.03,0.08,0.79
2623,sid meier's civilization revolution,Ps3,2008.0,Strategy,Take-Two Interactive,0.49,0.19,0.01,0.1,0.79
2624,ncaa football 08,Ps2,2007.0,Sports,Electronic Arts,0.65,0.03,0.0,0.11,0.79
2625,fifa soccer 2004,Xb,2003.0,Sports,Electronic Arts,0.24,0.49,0.0,0.05,0.79
2626,personal trainer: walking,Ds,2008.0,Sports,Nintendo,0.22,0.32,0.17,0.07,0.79
2627,naruto shippuden: ultimate ninja storm 2,X360,2010.0,Fighting,Namco Bandai Games,0.43,0.27,0.01,0.07,0.79
2628,pokepark 2: wonders beyond,Wii,2011.0,Action,Nintendo,0.27,0.2,0.27,0.05,0.79
2629,professor layton and the azran legacy,3Ds,2013.0,Puzzle,Nintendo,0.0,0.48,0.25,0.06,0.78
2630,tom clancy's splinter cell: double agent,X360,2006.0,Action,Ubisoft,0.67,0.05,0.01,0.06,0.78
2631,yars' revenge,2600,1982.0,Shooter,Atari,0.73,0.04,0.0,0.01,0.78
2632,lips,X360,2008.0,Misc,Microsoft Game Studios,0.12,0.56,0.0,0.1,0.78
2633,secret agent barbie: royal jewels mission,Gba,2002.0,Platform,Vivendi Games,0.56,0.21,0.0,0.01,0.78
2634,metroid prime hunters,Ds,2006.0,Shooter,Nintendo,0.58,0.04,0.11,0.06,0.78
2635,the 7th guest,Pc,1992.0,Adventure,Virgin Interactive,0.01,0.77,0.0,0.0,0.78
2636,doom,Ps,1994.0,Shooter,Infogrames,0.43,0.3,0.0,0.05,0.78
2637,buzz! the hollywood quiz,Ps2,2007.0,Misc,Sony Computer Entertainment,0.17,0.0,0.0,0.61,0.78
2638,puzzler world,Ds,2009.0,Puzzle,Ubisoft,0.41,0.3,0.0,0.07,0.78
2639,my little pony: pinkie pie's party,Ds,2008.0,Adventure,Thq,0.72,0.0,0.0,0.06,0.78
2640,we sing,Wii,2009.0,Misc,Nordic Games,0.0,0.69,0.0,0.09,0.78
2641,marvel vs. capcom: clash of super heroes,Ps,1999.0,Fighting,Capcom,0.43,0.3,0.0,0.05,0.78
2642,god of war saga,Ps3,2012.0,Action,Sony Computer Entertainment,0.72,0.0,0.0,0.06,0.78
2643,battle stations,Ps,1997.0,Strategy,Electronic Arts,0.43,0.29,0.0,0.05,0.78
2644,tetris party deluxe,Ds,2010.0,Puzzle,Nintendo,0.29,0.3,0.12,0.07,0.78
2645,pro evolution soccer 2016,Ps4,2015.0,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.78
2646,worms: open warfare,Psp,2006.0,Strategy,Thq,0.11,0.43,0.0,0.24,0.78
2647,star wars battlefront: elite squadron,Psp,2009.0,Shooter,Lucasarts,0.38,0.24,0.0,0.16,0.78
2648,ufc personal trainer: the ultimate fitness system,X360,2011.0,Sports,Thq,0.53,0.19,0.0,0.06,0.78
2649,resident evil: operation raccoon city,X360,2012.0,Action,Capcom,0.55,0.15,0.03,0.06,0.78
2650,nba 2k7,Ps2,2006.0,Sports,Take-Two Interactive,0.65,0.02,0.0,0.11,0.78
2651,need for speed: prostreet,Psp,2008.0,Racing,Electronic Arts,0.24,0.33,0.01,0.2,0.78
2652,toy story 3: the video game,X360,2010.0,Action,Disney Interactive Studios,0.41,0.29,0.0,0.07,0.78
2653,torneko no daibouken: fushigi no dungeon,Snes,1993.0,Role-Playing,Chunsoft,0.0,0.0,0.78,0.0,0.78
2654,jr. pac-man,2600,1983.0,Puzzle,Atari,0.72,0.05,0.0,0.01,0.78
2655,james bond 007: nightfire,Gc,2002.0,Shooter,Electronic Arts,0.6,0.16,0.0,0.02,0.78
2656,banjo-kazooie: nuts & bolts,X360,2008.0,Platform,Microsoft Game Studios,0.32,0.36,0.0,0.09,0.78
2657,nba shootout 98,Ps,1998.0,Sports,Sony Computer Entertainment,0.43,0.29,0.0,0.05,0.78
2658,avatar: the game,X360,2009.0,Action,Ubisoft,0.34,0.35,0.0,0.08,0.78
2659,harry potter and the half-blood prince,Wii,2009.0,Action,Electronic Arts,0.28,0.4,0.0,0.09,0.77
2660,dj hero,Wii,2009.0,Misc,Activision,0.47,0.23,0.0,0.07,0.77
2661,perfect dark zero,X360,2005.0,Shooter,Microsoft Game Studios,0.66,0.02,0.03,0.06,0.77
2662,galaxian,2600,1982.0,Shooter,Atari,0.72,0.05,0.0,0.01,0.77
2663,andretti racing,Ps,1996.0,Racing,Electronic Arts,0.43,0.29,0.0,0.05,0.77
2664,caesars palace 2000: millennium gold edition,Ps,2000.0,Misc,Interplay,0.43,0.29,0.0,0.05,0.77
2665,madden nfl 25,Xone,2013.0,Sports,Electronic Arts,0.67,0.05,0.0,0.05,0.77
2666,air raid,2600,1981.0,Action,Men-A-Vision,0.72,0.04,0.0,0.01,0.77
2667,need for speed: undercover,Psp,2008.0,Racing,Electronic Arts,0.23,0.32,0.03,0.19,0.77
2668,duke nukem forever,Ps3,2011.0,Shooter,Take-Two Interactive,0.33,0.31,0.0,0.12,0.77
2669,freedom wars,Psv,2014.0,Role-Playing,Sony Computer Entertainment,0.22,0.14,0.32,0.1,0.77
2670,marvel nemesis: rise of the imperfects,Ps2,2005.0,Fighting,Electronic Arts,0.64,0.02,0.0,0.1,0.77
2671,boxing,2600,1980.0,Fighting,Activision,0.72,0.04,0.0,0.01,0.77
2672,need for speed: porsche unleashed,Ps,1999.0,Racing,Electronic Arts,0.43,0.29,0.0,0.05,0.77
2673,dragon ball: raging blast,Ps3,2009.0,Fighting,Namco Bandai Games,0.37,0.19,0.11,0.1,0.77
2674,crystal castles,2600,1983.0,Action,Atari,0.72,0.04,0.0,0.01,0.77
2675,conker's bad fur day,N64,2001.0,Platform,Thq,0.53,0.22,0.0,0.02,0.77
2676,dragon warrior i&ii,Gb,1999.0,Role-Playing,Enix Corporation,0.0,0.0,0.77,0.0,0.77
2677,star wars episode ii: attack of the clones,Gba,2002.0,Action,Thq,0.55,0.2,0.0,0.01,0.77
2678,my baby girl,Ds,2008.0,Simulation,Nobilis,0.61,0.1,0.0,0.06,0.77
2679,lego batman 2: dc super heroes,Ds,2012.0,Action,Warner Bros. Interactive Entertainment,0.43,0.27,0.0,0.06,0.77
2680,twisted metal: head on,Psp,2005.0,Action,Sony Computer Entertainment,0.71,0.0,0.0,0.06,0.77
2681,conflict: desert storm ii - back to bagdhad,Ps2,2003.0,Shooter,Sci,0.38,0.29,0.0,0.1,0.77
2682,maximo: ghosts to glory,Ps2,2001.0,Platform,Capcom,0.38,0.29,0.0,0.1,0.77
2683,pokemon dash,Ds,2004.0,Racing,Nintendo,0.21,0.14,0.38,0.04,0.77
2684,donkey kong country 3,Gba,2005.0,Platform,Nintendo,0.45,0.17,0.14,0.01,0.77
2685,all-star baseball 2003,Ps2,2002.0,Sports,Acclaim Entertainment,0.38,0.29,0.0,0.1,0.77
2686,unlimited saga,Ps2,2002.0,Role-Playing,Atari,0.1,0.08,0.56,0.03,0.77
2687,cabela's deer hunt: 2004 season,Ps2,2003.0,Sports,Activision Value,0.37,0.29,0.0,0.1,0.76
2688,sonic unleashed,Ps2,2008.0,Platform,Sega,0.37,0.04,0.0,0.36,0.76
2689,formula 1,Ps,1996.0,Racing,Psygnosis,0.18,0.12,0.42,0.05,0.76
2690,plants vs. zombies: garden warfare,Ps3,2014.0,Shooter,Electronic Arts,0.22,0.4,0.01,0.14,0.76
2691,raving rabbids: travel in time,Wii,2010.0,Adventure,Ubisoft,0.22,0.47,0.0,0.08,0.76
2692,the sims 3,3Ds,2011.0,Simulation,Electronic Arts,0.3,0.37,0.03,0.07,0.76
2693,driv3r,Xb,2004.0,Racing,Atari,0.36,0.38,0.0,0.03,0.76
2694,mercenaries: playground of destruction,Ps2,2005.0,Action,Lucasarts,0.64,0.02,0.0,0.1,0.76
2695,mtv celebrity deathmatch,Ps2,2003.0,Fighting,Gotham Games,0.37,0.29,0.0,0.1,0.76
2696,street fighter alpha: warriors' dreams,Ps,1995.0,Fighting,Virgin Interactive,0.17,0.11,0.43,0.05,0.76
2697,mortal kombat,Psv,2012.0,Fighting,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.12,0.76
2698,iss pro evolution,Ps,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.71,0.05,0.76
2699,lost planet 2,X360,2010.0,Shooter,Capcom,0.38,0.24,0.08,0.06,0.76
2700,soulcalibur v,Ps3,2012.0,Fighting,Namco Bandai Games,0.35,0.24,0.07,0.1,0.76
